,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vaini,0,IN,1542431996,52,15.34,74.49,86.66,7.96
1,Albany,90,US,1542430440,64,42.65,-73.75,39.92,5.82
2,Cidreira,0,BR,1542431997,78,-30.17,-50.22,68.3,19.37
3,Rikitea,88,PF,1542431997,96,-23.12,-134.97,76.27,9.31
4,Khasan,20,RU,1542431997,100,42.43,130.64,40.49,4.16
5,Clyde River,90,CA,1542430740,83,70.47,-68.59,-13.01,11.41
6,Mar del Plata,88,AR,1542431998,69,-46.43,-67.52,50.53,12.1
7,Bredasdorp,68,ZA,1542427200,63,-34.53,20.04,60.8,5.82
8,Kapaa,90,US,1542430560,79,22.08,-159.32,77.0,23.04
9,Beringovskiy,76,RU,1542431998,100,63.05,179.32,26.05,26.42
10,Muzhi,80,RU,1542431998,87,65.4,64.7,26.45,7.96
11,Tuktoyaktuk,75,CA,1542427200,76,69.44,-133.03,-5.81,14.99
12,Alice Springs,90,AU,1542430800,24,-23.7,133.88,80.6,12.75
13,Kachiry,92,KZ,1542431999,96,53.07,76.1,22.45,8.86
14,Camacha,40,PT,1542429000,77,33.08,-16.33,66.2,21.92
15,Mataura,92,NZ,1542431999,100,-46.19,168.86,51.52,13.67
16,Meulaboh,68,ID,1542431999,100,4.14,96.13,80.63,7.07
17,Kahului,1,US,1542430560,81,20.89,-156.47,77.0,6.93
18,Lethem,0,GY,1542432000,72,3.38,-59.8,79.46,10.98
19,Hermanus,68,ZA,1542432000,80,-34.42,19.24,59.12,0.47
20,Bealanana,0,MG,1542432000,64,-14.54,48.75,77.53,4.5
21,Berlevag,92,NO,1542432000,100,70.86,29.09,41.53,13.89
22,Hobart,75,AU,1542430800,67,-42.88,147.33,57.2,19.46
23,Matara,76,PE,1542432001,94,-13.74,-72.9,41.3,1.81
24,Tasiilaq,20,GL,1542430200,59,65.61,-37.64,35.6,38.03
25,Ponta do Sol,92,BR,1542432001,99,-20.63,-46.0,67.49,7.63
26,Labuhan,32,ID,1542432001,100,-2.54,115.51,83.15,2.93
27,Los Llanos de Aridane,75,ES,1542430800,60,28.66,-17.92,71.6,12.75
28,Bethel,90,US,1542430380,95,60.79,-161.76,32.0,5.82
29,Nhulunbuy,0,AU,1542430800,49,-12.18,136.78,89.6,12.75
30,Zhigansk,0,RU,1542432003,52,66.77,123.37,-17.83,3.38
31,Hilo,90,US,1542430560,87,19.71,-155.08,75.02,6.93
32,Yellowknife,5,CA,1542427200,76,62.45,-114.38,-11.21,5.82
33,Kovdor,44,RU,1542432003,87,67.56,30.47,36.53,9.53
34,Fort Nelson,20,CA,1542427200,77,58.81,-122.69,-0.41,2.24
35,Butaritari,92,KI,1542432004,100,3.07,172.79,84.95,15.46
36,Ushuaia,40,AR,1542430800,74,-54.81,-68.31,37.4,14.99
37,Calhoun,1,US,1542430500,81,34.5,-84.95,41.0,2.26
38,Bluff,56,AU,1542432004,26,-23.58,149.07,94.31,4.72
39,Roros,0,NO,1542430200,100,62.57,11.38,35.6,8.05
40,Broken Hill,0,AU,1542432005,31,-31.97,141.45,78.47,13.78
41,Busselton,64,AU,1542432005,83,-33.64,115.35,70.91,17.69
42,Ancud,92,CL,1542432005,97,-41.87,-73.83,47.15,4.72
